measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Uttarakhand,Male,25-29 years,Non-communicable diseases,Number,2010,289.08575997552805,339.7615629047502,242.69906981740218
Deaths,Uttarakhand,Female,25-29 years,Non-communicable diseases,Number,2010,214.09189911840681,267.1679138116636,165.46758105088858
Deaths,Uttarakhand,Both,25-29 years,Non-communicable diseases,Number,2010,503.17765909393495,570.7227389730725,433.165279772099
Deaths,Uttarakhand,Male,25-29 years,Non-communicable diseases,Rate,2010,69.67713668272934,81.8913143976931,58.49674595479876
Deaths,Uttarakhand,Female,25-29 years,Non-communicable diseases,Rate,2010,49.90592261297735,62.278214571684124,38.57134402976685
Deaths,Uttarakhand,Both,25-29 years,Non-communicable diseases,Rate,2010,59.62638360386019,67.63045288364313,51.32994016879222
Deaths,Uttarakhand,Male,30-34 years,Non-communicable diseases,Number,2010,458.3003651030486,541.2646516182781,385.78954870236703
Deaths,Uttarakhand,Female,30-34 years,Non-communicable diseases,Number,2010,341.1044343404428,425.98533436183004,270.07657902229596
Deaths,Uttarakhand,Both,30-34 years,Non-communicable diseases,Number,2010,799.4047994434922,908.6956657687431,694.3738979169909
Deaths,Uttarakhand,Male,30-34 years,Non-communicable diseases,Rate,2010,127.03963291410147,150.03711078323917,106.93982894433344
Deaths,Uttarakhand,Female,30-34 years,Non-communicable diseases,Rate,2010,92.03367502501186,114.935462225474,72.86958949585795
Deaths,Uttarakhand,Both,30-34 years,Non-communicable diseases,Rate,2010,109.30030402810614,124.24332779423939,94.9397329167188
Deaths,Uttarakhand,Male,35-39 years,Non-communicable diseases,Number,2010,760.9490971560259,903.1195370364081,628.7673250972664
Deaths,Uttarakhand,Female,35-39 years,Non-communicable diseases,Number,2010,396.310544136735,495.2603711067304,315.5470021847828
Deaths,Uttarakhand,Both,35-39 years,Non-communicable diseases,Number,2010,1157.259641292761,1334.187304866327,995.9340423876578
Deaths,Uttarakhand,Male,35-39 years,Non-communicable diseases,Rate,2010,229.91370855882212,272.869187713081,189.97621269807738
Deaths,Uttarakhand,Female,35-39 years,Non-communicable diseases,Rate,2010,118.27381637846436,147.80412749148925,94.17096957758804
Deaths,Uttarakhand,Both,35-39 years,Non-communicable diseases,Rate,2010,173.74954519862285,200.313247916728,149.52831736132873
Deaths,Uttarakhand,Male,40-44 years,Non-communicable diseases,Number,2010,1317.7545107736141,1584.5382878379,1075.956795371643
Deaths,Uttarakhand,Female,40-44 years,Non-communicable diseases,Number,2010,667.5414303464275,816.596985811131,546.0923359157753
Deaths,Uttarakhand,Both,40-44 years,Non-communicable diseases,Number,2010,1985.2959411200418,2299.005758698303,1697.182726139931
Deaths,Uttarakhand,Male,40-44 years,Non-communicable diseases,Rate,2010,452.52607846277607,544.1414859194456,369.4910586335704
Deaths,Uttarakhand,Female,40-44 years,Non-communicable diseases,Rate,2010,231.02599040312933,282.61186322071745,188.99429611586433
Deaths,Uttarakhand,Both,40-44 years,Non-communicable diseases,Rate,2010,342.2061746902343,396.2804486625381,292.54399630466565
Deaths,Uttarakhand,Male,45-49 years,Non-communicable diseases,Number,2010,2036.6361805269573,2482.0937142045327,1645.7490445570706
Deaths,Uttarakhand,Female,45-49 years,Non-communicable diseases,Number,2010,934.4140591087139,1142.1730297382744,751.9723484152967
Deaths,Uttarakhand,Both,45-49 years,Non-communicable diseases,Number,2010,2971.0502396356706,3462.1803752433666,2507.7749920742644
Deaths,Uttarakhand,Male,45-49 years,Non-communicable diseases,Rate,2010,824.2502373274918,1004.5320575974526,666.0536886890993
Deaths,Uttarakhand,Female,45-49 years,Non-communicable diseases,Rate,2010,388.2242663015206,474.54261003144507,312.4245728077116
Deaths,Uttarakhand,Both,45-49 years,Non-communicable diseases,Rate,2010,609.0978698660224,709.7849317793005,514.1213653670911
Deaths,Uttarakhand,Male,50-54 years,Non-communicable diseases,Number,2010,2735.266799938404,3305.6096059045435,2172.205795267971
Deaths,Uttarakhand,Female,50-54 years,Non-communicable diseases,Number,2010,1428.3235694581633,1726.1579269788117,1157.585015828952
Deaths,Uttarakhand,Both,50-54 years,Non-communicable diseases,Number,2010,4163.590369396561,4878.158967566218,3493.586533531976
Deaths,Uttarakhand,Male,50-54 years,Non-communicable diseases,Rate,2010,1368.3244021139253,1653.6398890679488,1086.6516553871038
Deaths,Uttarakhand,Female,50-54 years,Non-communicable diseases,Rate,2010,723.0165298468457,873.7801020851964,585.9688372046222
Deaths,Uttarakhand,Both,50-54 years,Non-communicable diseases,Rate,2010,1047.5769143493244,1227.3653903395725,879.001120693868
Deaths,Uttarakhand,Male,55-59 years,Non-communicable diseases,Number,2010,3542.684889971008,4324.345500189159,2855.567566929722
Deaths,Uttarakhand,Female,55-59 years,Non-communicable diseases,Number,2010,2098.282096203555,2530.166439617754,1707.2425832324077
Deaths,Uttarakhand,Both,55-59 years,Non-communicable diseases,Number,2010,5640.96698617457,6540.059615948659,4770.23335910844
Deaths,Uttarakhand,Male,55-59 years,Non-communicable diseases,Rate,2010,2136.8325062317176,2608.304808350221,1722.3856454267886
Deaths,Uttarakhand,Female,55-59 years,Non-communicable diseases,Rate,2010,1223.1449212294267,1474.9018904955524,995.1974993093337
Deaths,Uttarakhand,Both,55-59 years,Non-communicable diseases,Rate,2010,1672.192671487564,1938.7172071179873,1414.074800284568
Deaths,Uttarakhand,Male,60-64 years,Non-communicable diseases,Number,2010,4457.137201905691,5407.481903120072,3656.891248893615
Deaths,Uttarakhand,Female,60-64 years,Non-communicable diseases,Number,2010,2647.169911581628,3133.0494625135134,2213.827027988774
Deaths,Uttarakhand,Both,60-64 years,Non-communicable diseases,Number,2010,7104.30711348732,8151.901056816099,6171.780755700933
Deaths,Uttarakhand,Male,60-64 years,Non-communicable diseases,Rate,2010,3038.8600304291035,3686.801611948224,2493.2552327842645
Deaths,Uttarakhand,Female,60-64 years,Non-communicable diseases,Rate,2010,1776.1395317736828,2102.144248854709,1485.384706027647
Deaths,Uttarakhand,Both,60-64 years,Non-communicable diseases,Rate,2010,2402.441215453215,2756.702767819695,2087.0917069572706
Deaths,Uttarakhand,Male,65-69 years,Non-communicable diseases,Number,2010,6073.630174263336,7190.695676640134,5097.957229193259
Deaths,Uttarakhand,Female,65-69 years,Non-communicable diseases,Number,2010,3444.4093014161786,4040.2120049154223,2912.907771735039
Deaths,Uttarakhand,Both,65-69 years,Non-communicable diseases,Number,2010,9518.039475679512,10790.037316233667,8357.710949684035
Deaths,Uttarakhand,Male,65-69 years,Non-communicable diseases,Rate,2010,5391.719416335014,6383.367505809529,4525.589176101026
Deaths,Uttarakhand,Female,65-69 years,Non-communicable diseases,Rate,2010,2997.89193543766,3516.4575191497815,2535.2918173713365
Deaths,Uttarakhand,Both,65-69 years,Non-communicable diseases,Rate,2010,4182.9859815990485,4742.003324325761,3673.0450456856643
Deaths,Uttarakhand,Male,Age-standardized,Non-communicable diseases,Rate,2010,1139.3073173659945,1314.8445223347867,981.5672490947629
Deaths,Uttarakhand,Female,Age-standardized,Non-communicable diseases,Rate,2010,782.4554409118265,900.3047741402906,669.2899545332514
Deaths,Uttarakhand,Both,Age-standardized,Non-communicable diseases,Rate,2010,950.1930922963516,1054.8875651914493,851.7641338753964
Deaths,Uttarakhand,Male,<20 years,Non-communicable diseases,Number,2010,757.6917787603492,962.0899438783085,600.8556607160873
Deaths,Uttarakhand,Female,<20 years,Non-communicable diseases,Number,2010,607.5234503216433,759.6941525436645,476.2920439379696
Deaths,Uttarakhand,Both,<20 years,Non-communicable diseases,Number,2010,1365.2152290819938,1692.1911914009468,1088.2949089094368
Deaths,Uttarakhand,Male,<20 years,Non-communicable diseases,Rate,2010,32.83592717883881,41.69388691054175,26.03915374737991
Deaths,Uttarakhand,Female,<20 years,Non-communicable diseases,Rate,2010,29.1440595528736,36.443978601946,22.848638494100843
Deaths,Uttarakhand,Both,<20 years,Non-communicable diseases,Rate,2010,31.083698878882984,38.52840220246781,24.77867996148073
Deaths,Uttarakhand,Male,65-74 years,Non-communicable diseases,Number,2010,10962.646691400789,12872.33048172562,9300.214197539748
Deaths,Uttarakhand,Female,65-74 years,Non-communicable diseases,Number,2010,7335.340547951607,8475.454381008072,6239.178815747925
Deaths,Uttarakhand,Both,65-74 years,Non-communicable diseases,Number,2010,18297.987239352384,20527.654632888178,16153.703560066448
Deaths,Uttarakhand,Male,65-74 years,Non-communicable diseases,Rate,2010,6019.23726865703,7067.7833146670755,5106.448969867459
Deaths,Uttarakhand,Female,65-74 years,Non-communicable diseases,Rate,2010,3582.4026796910844,4139.206664999565,3047.063836027189
Deaths,Uttarakhand,Both,65-74 years,Non-communicable diseases,Rate,2010,4729.540623358137,5305.850048890224,4175.30060577981
Deaths,Uttarakhand,Male,75+ years,Non-communicable diseases,Number,2010,5299.046543791667,5976.447125302421,4638.711278779663
Deaths,Uttarakhand,Female,75+ years,Non-communicable diseases,Number,2010,6777.292336312397,7681.735254479792,5846.460585138906
Deaths,Uttarakhand,Both,75+ years,Non-communicable diseases,Number,2010,12076.338880104062,13221.308364800358,10993.31851079869
Deaths,Uttarakhand,Male,75+ years,Non-communicable diseases,Rate,2010,9869.836696556365,11131.541620717946,8639.917091815098
Deaths,Uttarakhand,Female,75+ years,Non-communicable diseases,Rate,2010,8565.780019262014,9708.900116869709,7389.307230449879
Deaths,Uttarakhand,Both,75+ years,Non-communicable diseases,Rate,2010,9092.95396122078,9955.065807758858,8277.487083806254
Deaths,Jharkhand,Male,25-29 years,Non-communicable diseases,Number,2010,609.6304603722024,726.8009420387705,501.80518649017597
Deaths,Jharkhand,Female,25-29 years,Non-communicable diseases,Number,2010,766.2708460139246,889.4317518948667,628.6592967641706
Deaths,Jharkhand,Both,25-29 years,Non-communicable diseases,Number,2010,1375.9013063861282,1561.055862323165,1166.263239703788
Deaths,Jharkhand,Male,25-29 years,Non-communicable diseases,Rate,2010,46.04160610221541,54.890765575653305,37.898232188600964
Deaths,Jharkhand,Female,25-29 years,Non-communicable diseases,Rate,2010,58.99710474591663,68.47957025097625,48.40204814475751
Deaths,Jharkhand,Both,25-29 years,Non-communicable diseases,Rate,2010,52.45697603943004,59.51609289563191,44.464412190652226
Deaths,Jharkhand,Male,30-34 years,Non-communicable diseases,Number,2010,1060.8588079275855,1226.4855757543112,891.6954020204944
Deaths,Jharkhand,Female,30-34 years,Non-communicable diseases,Number,2010,934.4855650029202,1073.4033652750006,766.7012163555073
Deaths,Jharkhand,Both,30-34 years,Non-communicable diseases,Number,2010,1995.344372930503,2253.3818675407792,1755.543855652791
Deaths,Jharkhand,Male,30-34 years,Non-communicable diseases,Rate,2010,90.48222388360769,104.60877698909806,76.05402566173488
Deaths,Jharkhand,Female,30-34 years,Non-communicable diseases,Rate,2010,81.62670523679506,93.76108457835039,66.97085170272017
Deaths,Jharkhand,Both,30-34 years,Non-communicable diseases,Rate,2010,86.10724304018227,97.24261273541654,75.75887325373402
Deaths,Jharkhand,Male,35-39 years,Non-communicable diseases,Number,2010,1893.5024304487956,2147.152969955137,1627.725876874968
Deaths,Jharkhand,Female,35-39 years,Non-communicable diseases,Number,2010,1467.0657085899638,1668.7253025131665,1209.1814746130099
Deaths,Jharkhand,Both,35-39 years,Non-communicable diseases,Number,2010,3360.568139038759,3691.1988777288557,2993.0916397323635
Deaths,Jharkhand,Male,35-39 years,Non-communicable diseases,Rate,2010,177.6937211303257,201.49728615712826,152.7522032139568
Deaths,Jharkhand,Female,35-39 years,Non-communicable diseases,Rate,2010,143.60850208638948,163.34860782609422,118.36466444756891
Deaths,Jharkhand,Both,35-39 years,Non-communicable diseases,Rate,2010,161.01060130020497,176.85168883133014,143.4041699859031
